filename,width,height,class,xmin,ymin,xmax,ymax
06 EDF EST-01.jpg,1600,1280,beam,651.0,525.0,663.0,607.0
06 EDF EST-01.jpg,1600,1280,beam,663.0,623.0,987.0,611.0
06 EDF EST-01.jpg,1600,1280,beam,988.0,390.0,1000.0,583.0
06 EDF EST-01.jpg,1600,1280,beam,1016.0,386.0,1147.0,374.0
06 EDF EST-01.jpg,1600,1280,beam,987.0,386.0,663.0,374.0
06 EDF EST-01.jpg,1600,1280,beam,931.0,387.0,943.0,511.0
06 EDF EST-01.jpg,1600,1280,beam,1370.0,390.0,1382.0,713.0
06 EDF EST-01.jpg,1600,1280,beam,1175.0,386.0,1354.0,374.0
06 EDF EST-01.jpg,1600,1280,beam,988.0,600.0,1000.0,892.0
06 EDF EST-01.jpg,1600,1280,beam,1001.0,735.0,1146.0,714.0
06 EDF EST-01.jpg,1600,1280,beam,1146.0,735.0,1159.0,892.0
06 EDF EST-01.jpg,1600,1280,beam,1175.0,726.0,1354.0,714.0
06 EDF EST-01.jpg,1600,1280,beam,1016.0,897.0,1146.0,909.0
06 EDF EST-01.jpg,1600,1280,beam,1175.0,909.0,1354.0,897.0
06 EDF EST-01.jpg,1600,1280,beam,667.0,524.0,987.0,512.0
06 EDF EST-01.jpg,1600,1280,beam,868.0,387.0,880.0,511.0
06 EDF EST-01.jpg,1600,1280,beam,880.0,454.0,931.0,442.0
06 EDF EST-01.jpg,1600,1280,beam,1370.0,730.0,1382.0,893.0
06 EDF EST-01.jpg,1600,1280,slab,153.0,387.0,541.0,709.0
06 EDF EST-01.jpg,1600,1280,slab,570.0,512.0,651.0,710.0
06 EDF EST-01.jpg,1600,1280,slab,74.0,414.0,139.0,870.0
06 EDF EST-01.jpg,1600,1280,slab,152.0,723.0,650.0,896.0
06 EDF EST-01.jpg,1600,1280,slab,663.0,524.0,988.0,611.0
06 EDF EST-01.jpg,1600,1280,slab,880.0,454.0,930.0,512.0
06 EDF EST-01.jpg,1600,1280,slab,942.0,386.0,987.0,511.0
06 EDF EST-01.jpg,1600,1280,slab,1000.0,388.0,1370.0,713.0
06 EDF EST-01.jpg,1600,1280,slab,1000.0,735.0,1146.0,896.0
06 EDF EST-01.jpg,1600,1280,slab,1159.0,728.0,1369.0,892.0
EDF 07-EST-02.jpg,1600,1280,column,240.0,285.0,264.0,299.0
EDF 07-EST-02.jpg,1600,1280,column,608.0,285.0,633.0,299.0
EDF 07-EST-02.jpg,1600,1280,column,606.0,545.0,631.0,559.0
EDF 07-EST-02.jpg,1600,1280,column,240.0,545.0,264.0,559.0
EDF 07-EST-02.jpg,1600,1280,column,606.0,881.0,631.0,895.0
EDF 07-EST-02.jpg,1600,1280,column,240.0,1141.0,264.0,1155.0
EDF 07-EST-02.jpg,1600,1280,column,240.0,881.0,265.0,895.0
EDF 07-EST-02.jpg,1600,1280,column,608.0,1141.0,632.0,1155.0
EDF 07-EST-02.jpg,1600,1280,column,914.0,285.0,939.0,299.0
EDF 07-EST-02.jpg,1600,1280,column,1293.0,285.0,1318.0,299.0
EDF 07-EST-02.jpg,1600,1280,column,1293.0,545.0,1318.0,558.0
EDF 07-EST-02.jpg,1600,1280,column,914.0,545.0,939.0,559.0
EDF 07-EST-02.jpg,1600,1280,column,914.0,878.0,944.0,895.0
EDF 07-EST-02.jpg,1600,1280,column,1294.0,1141.0,1318.0,1155.0
EDF 07-EST-02.jpg,1600,1280,column,914.0,1141.0,938.0,1155.0
EDF 07-EST-02.jpg,1600,1280,column,1293.0,881.0,1318.0,895.0
EDF 07-EST-02.jpg,1600,1280,beam,265.0,558.0,606.0,544.0
EDF 07-EST-02.jpg,1600,1280,beam,264.0,299.0,605.0,284.0
EDF 07-EST-02.jpg,1600,1280,beam,618.0,300.0,632.0,541.0
EDF 07-EST-02.jpg,1600,1280,beam,240.0,298.0,254.0,540.0
EDF 07-EST-02.jpg,1600,1280,beam,254.0,725.0,618.0,712.0
EDF 07-EST-02.jpg,1600,1280,beam,265.0,896.0,606.0,882.0
EDF 07-EST-02.jpg,1600,1280,beam,266.0,1155.0,607.0,1141.0
EDF 07-EST-02.jpg,1600,1280,beam,618.0,560.0,633.0,880.0
EDF 07-EST-02.jpg,1600,1280,beam,239.0,560.0,254.0,880.0
EDF 07-EST-02.jpg,1600,1280,beam,240.0,897.0,254.0,1139.0
EDF 07-EST-02.jpg,1600,1280,beam,619.0,898.0,633.0,1139.0
EDF 07-EST-02.jpg,1600,1280,beam,914.0,301.0,928.0,543.0
EDF 07-EST-02.jpg,1600,1280,beam,633.0,541.0,913.0,553.0
EDF 07-EST-02.jpg,1600,1280,beam,939.0,284.0,1292.0,298.0
EDF 07-EST-02.jpg,1600,1280,beam,938.0,543.0,1291.0,557.0
EDF 07-EST-02.jpg,1600,1280,beam,1305.0,300.0,1319.0,542.0
EDF 07-EST-02.jpg,1600,1280,beam,913.0,559.0,928.0,880.0
EDF 07-EST-02.jpg,1600,1280,beam,1276.0,557.0,1290.0,883.0
EDF 07-EST-02.jpg,1600,1280,beam,945.0,885.0,1292.0,895.0
EDF 07-EST-02.jpg,1600,1280,beam,940.0,1141.0,1292.0,1155.0
EDF 07-EST-02.jpg,1600,1280,beam,914.0,896.0,927.0,1140.0
EDF 07-EST-02.jpg,1600,1280,beam,1305.0,896.0,1319.0,1140.0
EDF 07-EST-02.jpg,1600,1280,beam,632.0,647.0,913.0,659.0
EDF 07-EST-02.jpg,1600,1280,beam,632.0,782.0,913.0,794.0
EDF 07-EST-02.jpg,1600,1280,beam,632.0,919.0,913.0,931.0
EDF 07-EST-02.jpg,1600,1280,beam,632.0,1142.0,913.0,1155.0
EDF 07-EST-02.jpg,1600,1280,beam,767.0,933.0,779.0,1141.0
EDF 07-EST-02.jpg,1600,1280,beam,732.0,796.0,745.0,917.0
EDF 07-EST-02.jpg,1600,1280,beam,682.0,555.0,695.0,645.0
EDF 07-EST-02.jpg,1600,1280,slab,254.0,299.0,618.0,545.0
EDF 07-EST-02.jpg,1600,1280,slab,928.0,299.0,1304.0,545.0
EDF 07-EST-02.jpg,1600,1280,slab,927.0,896.0,1305.0,1141.0
EDF 07-EST-02.jpg,1600,1280,slab,928.0,713.0,1277.0,557.0
EDF 07-EST-02.jpg,1600,1280,slab,928.0,882.0,1279.0,724.0
EDF 07-EST-02.jpg,1600,1280,slab,633.0,783.0,913.0,659.0
EDF 07-EST-02.jpg,1600,1280,slab,173.0,759.0,240.0,881.0
EDF 07-EST-02.jpg,1600,1280,slab,255.0,895.0,619.0,1141.0
EDF 07-EST-02.jpg,1600,1280,slab,254.0,713.0,619.0,558.0
EDF 07-EST-02.jpg,1600,1280,slab,253.0,881.0,618.0,725.0
EDF 07-EST-02.jpg,1600,1280,slab,779.0,930.0,913.0,1141.0
EDF 07-EST-02.jpg,1600,1280,slab,813.0,553.0,914.0,647.0
EDF 07-EST-02.jpg,1600,1280,slab,633.0,592.0,681.0,648.0
EDF 07-EST-02.jpg,1600,1280,slab,1376.0,433.0,1317.0,558.0
EDF 07-EST-02.jpg,1600,1280,slab,1290.0,881.0,1318.0,1008.0
EDF 07-EST-02.jpg,1600,1280,slab,632.0,794.0,733.0,918.0
EDF 08 - EST-04.jpg,1600,1280,column,1194.0,588.0,1207.0,615.0
EDF 08 - EST-04.jpg,1600,1280,column,957.0,588.0,983.0,603.0
EDF 08 - EST-04.jpg,1600,1280,column,1194.0,790.0,1208.0,816.0
EDF 08 - EST-04.jpg,1600,1280,column,800.0,621.0,811.0,646.0
EDF 08 - EST-04.jpg,1600,1280,column,800.0,757.0,812.0,783.0
EDF 08 - EST-04.jpg,1600,1280,column,958.0,802.0,980.0,815.0
EDF 08 - EST-04.jpg,1600,1280,beam,970.0,609.0,956.0,796.0
EDF 08 - EST-04.jpg,1600,1280,beam,982.0,817.0,1192.0,800.0
EDF 08 - EST-04.jpg,1600,1280,beam,1196.0,615.0,1209.0,788.0
EDF 08 - EST-04.jpg,1600,1280,beam,1191.0,604.0,984.0,587.0
EDF 08 - EST-04.jpg,1600,1280,slab,969.0,603.0,1178.0,800.0
EDF 08 - EST-04.jpg,1600,1280,slab,948.0,609.0,820.0,687.0
EDF 08 - EST-04.jpg,1600,1280,slab,820.0,716.0,949.0,796.0
06 EDF EST-01.jpg,1600,1280,column,140.0,374.0,167.0,389.0
06 EDF EST-01.jpg,1600,1280,column,350.0,374.0,377.0,389.0
06 EDF EST-01.jpg,1600,1280,column,636.0,374.0,663.0,389.0
06 EDF EST-01.jpg,1600,1280,column,140.0,709.0,167.0,724.0
06 EDF EST-01.jpg,1600,1280,column,350.0,708.0,377.0,723.0
06 EDF EST-01.jpg,1600,1280,column,636.0,608.0,662.0,623.0
06 EDF EST-01.jpg,1600,1280,column,636.0,894.0,663.0,909.0
06 EDF EST-01.jpg,1600,1280,column,350.0,894.0,377.0,909.0
06 EDF EST-01.jpg,1600,1280,column,140.0,894.0,167.0,909.0
06 EDF EST-01.jpg,1600,1280,column,989.0,374.0,1015.0,389.0
06 EDF EST-01.jpg,1600,1280,column,988.0,584.0,1015.0,599.0
06 EDF EST-01.jpg,1600,1280,column,988.0,894.0,1015.0,909.0
06 EDF EST-01.jpg,1600,1280,column,1148.0,894.0,1174.0,909.0
06 EDF EST-01.jpg,1600,1280,column,1147.0,714.0,1174.0,729.0
06 EDF EST-01.jpg,1600,1280,column,1355.0,714.0,1382.0,729.0
06 EDF EST-01.jpg,1600,1280,column,1355.0,894.0,1382.0,909.0
06 EDF EST-01.jpg,1600,1280,column,1355.0,374.0,1382.0,389.0
06 EDF EST-01.jpg,1600,1280,column,1147.0,374.0,1174.0,389.0
06 EDF EST-01.jpg,1600,1280,column,542.0,497.0,558.0,524.0
06 EDF EST-01.jpg,1600,1280,column,651.0,497.0,666.0,524.0
06 EDF EST-01.jpg,1600,1280,beam,167.0,386.0,349.0,374.0
06 EDF EST-01.jpg,1600,1280,beam,168.0,723.0,349.0,710.0
06 EDF EST-01.jpg,1600,1280,beam,377.0,723.0,651.0,711.0
06 EDF EST-01.jpg,1600,1280,beam,377.0,386.0,635.0,373.0
06 EDF EST-01.jpg,1600,1280,beam,542.0,387.0,554.0,496.0
06 EDF EST-01.jpg,1600,1280,beam,651.0,390.0,663.0,496.0
06 EDF EST-01.jpg,1600,1280,beam,559.0,500.0,649.0,512.0
06 EDF EST-01.jpg,1600,1280,beam,542.0,525.0,570.0,709.0
06 EDF EST-01.jpg,1600,1280,beam,140.0,390.0,152.0,708.0
06 EDF EST-01.jpg,1600,1280,beam,140.0,725.0,152.0,893.0
06 EDF EST-01.jpg,1600,1280,beam,167.0,909.0,349.0,897.0
06 EDF EST-01.jpg,1600,1280,beam,377.0,909.0,635.0,897.0
06 EDF EST-01.jpg,1600,1280,beam,651.0,624.0,663.0,893.0
06 EDF EST-01.jpg,1600,1280,beam,651.0,525.0,663.0,607.0
06 EDF EST-01.jpg,1600,1280,beam,663.0,623.0,987.0,611.0
06 EDF EST-01.jpg,1600,1280,beam,988.0,390.0,1000.0,583.0
06 EDF EST-01.jpg,1600,1280,beam,1016.0,386.0,1147.0,374.0
06 EDF EST-01.jpg,1600,1280,beam,987.0,386.0,663.0,374.0
06 EDF EST-01.jpg,1600,1280,beam,931.0,387.0,943.0,511.0
06 EDF EST-01.jpg,1600,1280,beam,1370.0,390.0,1382.0,713.0
06 EDF EST-01.jpg,1600,1280,beam,1175.0,386.0,1354.0,374.0
06 EDF EST-01.jpg,1600,1280,beam,988.0,600.0,1000.0,892.0
06 EDF EST-01.jpg,1600,1280,beam,1001.0,735.0,1146.0,714.0
06 EDF EST-01.jpg,1600,1280,beam,1146.0,735.0,1159.0,892.0
06 EDF EST-01.jpg,1600,1280,beam,1175.0,726.0,1354.0,714.0
06 EDF EST-01.jpg,1600,1280,beam,1016.0,897.0,1146.0,909.0
06 EDF EST-01.jpg,1600,1280,beam,1175.0,909.0,1354.0,897.0
06 EDF EST-01.jpg,1600,1280,beam,667.0,524.0,987.0,512.0
06 EDF EST-01.jpg,1600,1280,beam,868.0,387.0,880.0,511.0
06 EDF EST-01.jpg,1600,1280,beam,880.0,454.0,931.0,442.0
06 EDF EST-01.jpg,1600,1280,beam,1370.0,730.0,1382.0,893.0
06 EDF EST-01.jpg,1600,1280,slab,153.0,386.0,541.0,710.0
06 EDF EST-01.jpg,1600,1280,slab,74.0,413.0,139.0,870.0
06 EDF EST-01.jpg,1600,1280,slab,152.0,723.0,651.0,895.0
06 EDF EST-01.jpg,1600,1280,slab,569.0,511.0,649.0,709.0
06 EDF EST-01.jpg,1600,1280,slab,664.0,524.0,989.0,611.0
06 EDF EST-01.jpg,1600,1280,slab,881.0,454.0,930.0,510.0
06 EDF EST-01.jpg,1600,1280,slab,943.0,385.0,988.0,510.0
06 EDF EST-01.jpg,1600,1280,slab,1001.0,387.0,1369.0,713.0
06 EDF EST-01.jpg,1600,1280,slab,1001.0,735.0,1146.0,896.0
06 EDF EST-01.jpg,1600,1280,slab,1160.0,728.0,1370.0,895.0
E014-EST-06.jpg,1600,1280,column,654.0,671.0,669.0,699.0
E014-EST-06.jpg,1600,1280,column,653.0,817.0,669.0,846.0
E014-EST-06.jpg,1600,1280,column,889.0,816.0,905.0,845.0
E014-EST-06.jpg,1600,1280,column,890.0,670.0,905.0,699.0
E014-EST-06.jpg,1600,1280,column,1004.0,670.0,1019.0,698.0
E014-EST-06.jpg,1600,1280,column,1004.0,816.0,1019.0,845.0
E014-EST-06.jpg,1600,1280,beam,1003.0,845.0,905.0,832.0
E014-EST-06.jpg,1600,1280,beam,1004.0,682.0,905.0,670.0
E014-EST-06.jpg,1600,1280,beam,1019.0,833.0,1059.0,845.0
E014-EST-06.jpg,1600,1280,beam,1019.0,683.0,1058.0,670.0
E014-EST-06.jpg,1600,1280,beam,889.0,699.0,902.0,816.0
E014-EST-06.jpg,1600,1280,beam,1045.0,833.0,1059.0,683.0
E014-EST-06.jpg,1600,1280,slab,905.0,831.0,1003.0,815.0
EDF 03 - EST-05.jpg,1600,1280,column,775.0,401.0,794.0,414.0
EDF 03 - EST-05.jpg,1600,1280,column,596.0,402.0,615.0,414.0
EDF 03 - EST-05.jpg,1600,1280,column,776.0,528.0,795.0,541.0
EDF 03 - EST-05.jpg,1600,1280,column,776.0,679.0,795.0,693.0
EDF 03 - EST-05.jpg,1600,1280,column,596.0,680.0,615.0,695.0
EDF 03 - EST-05.jpg,1600,1280,column,992.0,681.0,1013.0,695.0
EDF 03 - EST-05.jpg,1600,1280,column,993.0,527.0,1013.0,541.0
EDF 03 - EST-05.jpg,1600,1280,column,992.0,401.0,1013.0,415.0
EDF 03 - EST-05.jpg,1600,1280,column,595.0,521.0,609.0,541.0
EDF 03 - EST-05.jpg,1600,1280,beam,616.0,400.0,770.0,415.0
EDF 03 - EST-05.jpg,1600,1280,beam,610.0,526.0,774.0,541.0
EDF 03 - EST-05.jpg,1600,1280,beam,774.0,416.0,787.0,525.0
EDF 03 - EST-05.jpg,1600,1280,beam,569.0,415.0,582.0,524.0
EDF 03 - EST-05.jpg,1600,1280,beam,568.0,400.0,592.0,415.0
EDF 03 - EST-05.jpg,1600,1280,beam,569.0,527.0,593.0,540.0
EDF 03 - EST-05.jpg,1600,1280,slab,582.0,414.0,775.0,526.0
06 EDF EST-06.jpg,1600,1280,slab,524.0,388.0,649.0,511.0
06 EDF EST-06.jpg,1600,1280,column,636.0,388.0,663.0,374.0
06 EDF EST-06.jpg,1600,1280,column,509.0,374.0,523.0,388.0
06 EDF EST-06.jpg,1600,1280,column,542.0,497.0,558.0,524.0
06 EDF EST-06.jpg,1600,1280,column,651.0,497.0,666.0,524.0
06 EDF EST-06.jpg,1600,1280,beam,649.0,389.0,663.0,496.0
06 EDF EST-06.jpg,1600,1280,beam,509.0,389.0,523.0,512.0
06 EDF EST-06.jpg,1600,1280,beam,509.0,524.0,541.0,511.0
06 EDF EST-06.jpg,1600,1280,beam,559.0,524.0,649.0,511.0
06 EDF EST-06.jpg,1600,1280,beam,524.0,387.0,635.0,374.0
06 EDF EST-06.jpg,1600,1280,column,988.0,374.0,1015.0,389.0
06 EDF EST-06.jpg,1600,1280,column,988.0,584.0,1015.0,599.0
06 EDF EST-07.jpg,1600,1280,column,636.0,374.0,663.0,389.0
06 EDF EST-07.jpg,1600,1280,column,509.0,374.0,523.0,388.0
06 EDF EST-07.jpg,1600,1280,column,542.0,497.0,558.0,524.0
06 EDF EST-07.jpg,1600,1280,column,651.0,497.0,666.0,523.0
06 EDF EST-07.jpg,1600,1280,column,988.0,584.0,1015.0,598.0
06 EDF EST-07.jpg,1600,1280,column,988.0,374.0,1014.0,388.0
06 EDF EST-07.jpg,1600,1280,slab,522.0,512.0,987.0,387.0
06 EDF EST-07.jpg,1600,1280,beam,988.0,390.0,1000.0,583.0
06 EDF EST-07.jpg,1600,1280,beam,667.0,523.0,987.0,513.0
06 EDF EST-07.jpg,1600,1280,beam,558.0,524.0,650.0,512.0
06 EDF EST-07.jpg,1600,1280,beam,509.0,523.0,541.0,512.0
06 EDF EST-07.jpg,1600,1280,beam,509.0,511.0,521.0,389.0
06 EDF EST-07.jpg,1600,1280,beam,524.0,386.0,635.0,374.0
06 EDF EST-07.jpg,1600,1280,beam,663.0,386.0,987.0,374.0
06 EDF EST-08.jpg,1600,1280,beam,1003.0,524.0,1015.0,584.0
06 EDF EST-08.jpg,1600,1280,beam,1003.0,389.0,1015.0,410.0
06 EDF EST-08.jpg,1600,1280,column,988.0,374.0,1015.0,388.0
06 EDF EST-08.jpg,1600,1280,beam,651.0,389.0,663.0,410.0
06 EDF EST-08.jpg,1600,1280,column,636.0,374.0,663.0,389.0
06 EDF EST-08.jpg,1600,1280,column,651.0,498.0,665.0,524.0
06 EDF EST-08.jpg,1600,1280,slab,671.0,431.0,819.0,504.0
06 EDF EST-08.jpg,1600,1280,slab,847.0,430.0,995.0,503.0
EDF 08 - EST-05.jpg,1600,1280,column,1194.0,588.0,1207.0,615.0
EDF 08 - EST-05.jpg,1600,1280,column,1194.0,789.0,1208.0,816.0
EDF 08 - EST-05.jpg,1600,1280,column,957.0,588.0,982.0,603.0
EDF 08 - EST-05.jpg,1600,1280,column,957.0,801.0,977.0,815.0
EDF 08 - EST-05.jpg,1600,1280,beam,985.0,602.0,1192.0,587.0
EDF 08 - EST-05.jpg,1600,1280,beam,957.0,604.0,970.0,800.0
EDF 08 - EST-05.jpg,1600,1280,beam,978.0,818.0,1186.0,803.0
EDF 08 - EST-05.jpg,1600,1280,beam,1195.0,616.0,1209.0,788.0
EDF 08 - EST-05.jpg,1600,1280,slab,970.0,602.0,1179.0,802.0
EDF 08 - EST-05.jpg,1600,1280,slab,812.0,708.0,956.0,805.0
EDF 08 - EST-05.jpg,1600,1280,slab,956.0,700.0,813.0,602.0
E014-EST-04.jpg,1600,1280,column,638.0,532.0,666.0,547.0
E014-EST-04.jpg,1600,1280,column,990.0,535.0,1019.0,551.0
E014-EST-04.jpg,1600,1280,column,1004.0,669.0,1019.0,698.0
E014-EST-04.jpg,1600,1280,column,1004.0,815.0,1019.0,845.0
E014-EST-04.jpg,1600,1280,column,890.0,815.0,905.0,845.0
E014-EST-04.jpg,1600,1280,column,889.0,669.0,905.0,698.0
E014-EST-04.jpg,1600,1280,column,637.0,669.0,653.0,698.0
E014-EST-04.jpg,1600,1280,column,637.0,816.0,653.0,845.0
E014-EST-04.jpg,1600,1280,beam,905.0,831.0,1003.0,844.0
E014-EST-04.jpg,1600,1280,beam,890.0,816.0,902.0,697.0
E014-EST-04.jpg,1600,1280,beam,905.0,669.0,1003.0,682.0
E014-EST-04.jpg,1600,1280,beam,1019.0,681.0,1059.0,669.0
E014-EST-04.jpg,1600,1280,beam,1019.0,845.0,1059.0,832.0
E014-EST-04.jpg,1600,1280,beam,1047.0,832.0,1059.0,681.0
E014-EST-04.jpg,1600,1280,slab,906.0,831.0,1003.0,815.0
06 EDF EST-01.jpg,1600,1280,column,140.0,374.0,167.0,389.0
06 EDF EST-01.jpg,1600,1280,column,350.0,374.0,377.0,389.0
06 EDF EST-01.jpg,1600,1280,column,636.0,374.0,663.0,389.0
06 EDF EST-01.jpg,1600,1280,column,140.0,709.0,167.0,724.0
06 EDF EST-01.jpg,1600,1280,column,350.0,708.0,377.0,723.0
06 EDF EST-01.jpg,1600,1280,column,636.0,608.0,662.0,623.0
06 EDF EST-01.jpg,1600,1280,column,636.0,894.0,663.0,909.0
06 EDF EST-01.jpg,1600,1280,column,350.0,894.0,377.0,909.0
06 EDF EST-01.jpg,1600,1280,column,140.0,894.0,167.0,909.0
06 EDF EST-01.jpg,1600,1280,column,989.0,374.0,1015.0,389.0
06 EDF EST-01.jpg,1600,1280,column,988.0,584.0,1015.0,599.0
06 EDF EST-01.jpg,1600,1280,column,988.0,894.0,1015.0,909.0
06 EDF EST-01.jpg,1600,1280,column,1148.0,894.0,1174.0,909.0
06 EDF EST-01.jpg,1600,1280,column,1147.0,714.0,1174.0,729.0
06 EDF EST-01.jpg,1600,1280,column,1355.0,714.0,1382.0,729.0
06 EDF EST-01.jpg,1600,1280,column,1355.0,894.0,1382.0,909.0
06 EDF EST-01.jpg,1600,1280,column,1355.0,374.0,1382.0,389.0
06 EDF EST-01.jpg,1600,1280,column,1147.0,374.0,1174.0,389.0
06 EDF EST-01.jpg,1600,1280,column,542.0,497.0,558.0,524.0
06 EDF EST-01.jpg,1600,1280,column,651.0,497.0,666.0,524.0
06 EDF EST-01.jpg,1600,1280,beam,167.0,386.0,349.0,374.0
06 EDF EST-01.jpg,1600,1280,beam,168.0,723.0,349.0,710.0
06 EDF EST-01.jpg,1600,1280,beam,377.0,723.0,651.0,711.0
06 EDF EST-01.jpg,1600,1280,beam,377.0,386.0,635.0,373.0
06 EDF EST-01.jpg,1600,1280,beam,542.0,387.0,554.0,496.0
06 EDF EST-01.jpg,1600,1280,beam,651.0,390.0,663.0,496.0
06 EDF EST-01.jpg,1600,1280,beam,559.0,500.0,649.0,512.0
06 EDF EST-01.jpg,1600,1280,beam,542.0,525.0,570.0,709.0
06 EDF EST-01.jpg,1600,1280,beam,140.0,390.0,152.0,708.0
06 EDF EST-01.jpg,1600,1280,beam,140.0,725.0,152.0,893.0
06 EDF EST-01.jpg,1600,1280,beam,167.0,909.0,349.0,897.0
06 EDF EST-01.jpg,1600,1280,beam,377.0,909.0,635.0,897.0
06 EDF EST-01.jpg,1600,1280,beam,651.0,624.0,663.0,893.0
06 EDF EST-01.jpg,1600,1280,beam,651.0,525.0,663.0,607.0
06 EDF EST-01.jpg,1600,1280,beam,663.0,623.0,987.0,611.0
06 EDF EST-01.jpg,1600,1280,beam,988.0,390.0,1000.0,583.0
06 EDF EST-01.jpg,1600,1280,beam,1016.0,386.0,1147.0,374.0
06 EDF EST-01.jpg,1600,1280,beam,987.0,386.0,663.0,374.0
06 EDF EST-01.jpg,1600,1280,beam,931.0,387.0,943.0,511.0
06 EDF EST-01.jpg,1600,1280,beam,1370.0,390.0,1382.0,713.0
06 EDF EST-01.jpg,1600,1280,beam,1175.0,386.0,1354.0,374.0
06 EDF EST-01.jpg,1600,1280,beam,988.0,600.0,1000.0,892.0
06 EDF EST-01.jpg,1600,1280,beam,1001.0,735.0,1146.0,714.0
06 EDF EST-01.jpg,1600,1280,beam,1146.0,735.0,1159.0,892.0
06 EDF EST-01.jpg,1600,1280,beam,1175.0,726.0,1354.0,714.0
06 EDF EST-01.jpg,1600,1280,beam,1016.0,897.0,1146.0,909.0
06 EDF EST-01.jpg,1600,1280,beam,1175.0,909.0,1354.0,897.0
06 EDF EST-01.jpg,1600,1280,beam,667.0,524.0,987.0,512.0
06 EDF EST-01.jpg,1600,1280,beam,868.0,387.0,880.0,511.0
06 EDF EST-01.jpg,1600,1280,beam,880.0,454.0,931.0,442.0
06 EDF EST-01.jpg,1600,1280,beam,1370.0,730.0,1382.0,893.0
06 EDF EST-01.jpg,1600,1280,slab,153.0,386.0,542.0,710.0
06 EDF EST-01.jpg,1600,1280,slab,651.0,896.0,152.0,724.0
06 EDF EST-01.jpg,1600,1280,slab,570.0,512.0,651.0,710.0
06 EDF EST-01.jpg,1600,1280,slab,664.0,524.0,988.0,611.0
06 EDF EST-01.jpg,1600,1280,slab,1000.0,735.0,1147.0,896.0
06 EDF EST-01.jpg,1600,1280,slab,880.0,454.0,931.0,511.0
06 EDF EST-01.jpg,1600,1280,slab,942.0,386.0,988.0,511.0
06 EDF EST-01.jpg,1600,1280,slab,1001.0,386.0,1370.0,714.0
06 EDF EST-01.jpg,1600,1280,slab,1159.0,727.0,1370.0,897.0
06 EDF EST-01.jpg,1600,1280,slab,74.0,413.0,139.0,870.0
EDF 08 - EST-01.jpg,1600,1280,column,309.0,418.0,328.0,405.0
EDF 08 - EST-01.jpg,1600,1280,column,715.0,418.0,735.0,405.0
EDF 08 - EST-01.jpg,1600,1280,column,969.0,405.0,986.0,419.0
EDF 08 - EST-01.jpg,1600,1280,column,309.0,631.0,324.0,606.0
EDF 08 - EST-01.jpg,1600,1280,column,226.0,769.0,247.0,783.0
EDF 08 - EST-01.jpg,1600,1280,column,226.0,985.0,247.0,999.0
